ref_id,full_name,first_name,last_name,nickname,birthday,birthdate
42348,Tom McMahon Snr,Tom,McMahon Snr,NA,NA,NA
42341,R McMillan,R,McMillan,NA,NA,NA
42276,Don MacDonald,Don,MacDonald,NA,NA,NA
42069,Tony Maksoud,Tony,Maksoud,NA,NA,NA
42311,B Maloney,B,Maloney,NA,NA,NA
42060,Tim Mander,Tim,Mander,NA,NA,NA
42061,David Manson,David,Manson,NA,NA,NA
42135,Jared Maxwell,Jared,Maxwell,NA,NA,NA
42332,J Mercer,J,Mercer,NA,NA,NA
42252,J Miller,J,Miller,NA,NA,NA
44735,Paul Miller,Paul,Miller,NA,NA,NA
42231,Horrie Millington,Horrie,Millington,NA,NA,NA
42255,H Mills,H,Mills,NA,NA,NA
42466,Gavin Morris,Gavin,Morris,NA,NA,NA
42495,David Munro,David,Munro,NA,1980-04-30,30-04
9182,Joe Murphy,Joe,Murphy,NA,NA,NA
42247,Joe Murray,Joe,Murray,NA,NA,NA
42342,R Musgrave,R,Musgrave,NA,NA,NA
42154,Steve Nash,Steve,Nash,NA,NA,NA
42188,Mick Naughton,Mick,Naughton,NA,NA,NA
8620,William Neill,William,Neill,NA,1884-06-21,21-06
42268,Arthur Neville,Arthur,Neville,NA,NA,NA
42318,Dudley Nicholson,Dudley,Nicholson,NA,NA,NA
42243,E Norman,E,Norman,NA,NA,NA
42229,A Norton,A,Norton,NA,NA,NA
42650,Matt Noyen,Matt,Noyen,NA,NA,NA
42064,Mark Oaten,Mark,Oaten,NA,NA,NA
42266,Jack O'Brien,Jack,O'Brien,NA,NA,NA
42146,Giles O'Donnell,Giles,O'Donnell,NA,NA,NA
42299,Ray O'Donnell,Ray,O'Donnell,NA,NA,NA
42141,David O'Keefe,David,O'Keefe,NA,NA,NA
3584,Larry O'Malley,Larry,O'Malley,NA,1883-04-02,02-04
13238,Aub Oxford,Aub,Oxford,NA,1914-10-31,31-10
42186,Keith Page,Keith,Page,NA,NA,NA
10063,Keith Parkinson,Keith,Parkinson,NA,1919-02-06,06-02
42092,Ian Parnaby,Ian,Parnaby,NA,NA,NA
42183,Col Pearce,Col,Pearce,NA,NA,NA
42346,Ted Pepper,Ted,Pepper,NA,NA,NA
1692,Henry Perenara,Henry,Perenara,NA,1980-06-16,16-06
42308,Albert Perry,Albert,Perry,NA,NA,NA
12456,Tom Phelan,Tom,Phelan,NA,1881-06-27,27-06
2693,Luke Phillips,Luke,Phillips,NA,1975-08-04,04-08
42153,Peter Pierse,Peter,Pierse,NA,NA,NA
42224,Harry Poulton,Harry,Poulton,NA,NA,NA
42748,Zbignew Przeklasa-Adamski,Zbignew,Przeklasa-Adamski,Ziggy,1986-12-01,01-12
42335,Julien Rascagneres,Julien,Rascagneres,NA,NA,NA
43005,Wyatt Raymond,Wyatt,Raymond,NA,NA,NA
42464,Gavin Reynolds,Gavin,Reynolds,NA,NA,NA
42084,Stephen Richards,Stephen,Richards,NA,NA,NA
10679,Kevin Roberts,Kevin,Roberts,Bilko,1941-09-11,11-09
42326,G Robinson,G,Robinson,NA,NA,NA
42089,Jason Robinson,Jason,Robinson,NA,NA,NA
42480,Tim Roby,Tim,Roby,NA,1989-08-15,15-08
8706,Charlie Russell,Charlie,Russell,NA,1883-12-05,05-12
42270,Les Samuelson,Les,Samuelson,NA,NA,NA
42219,George Seabrook,George,Seabrook,NA,NA,NA
42916,Belinda Sharpe,Belinda,Sharpe,NA,NA,NA
42228,E Shaw,E,Shaw,NA,NA,NA
42290,Austin Shiner,Austin,Shiner,NA,NA,NA
42288,Bruce Shipton,Bruce,Shipton,NA,NA,NA
42248,C Shirley,C,Shirley,NA,NA,NA
42292,Alan Shortall,Alan,Shortall,NA,NA,NA
42073,Paul Simpkins,Paul,Simpkins,NA,NA,NA
42508,Ian Smith,Ian,Smith,NA,NA,NA
42094,Russell Smith,Russell,Smith,NA,1964-01-24,24-01
42915,Todd Smith,Todd,Smith,NA,NA,NA
42343,Ray Smyth,Ray,Smyth,NA,NA,NA
42144,Denis Spagarino,Denis,Spagarino,NA,NA,NA
42263,Alex Spankie,Alex,Spankie,NA,NA,NA
44610,Jack Stewart,Jack,Stewart,NA,NA,NA
42701,Jon Stone,Jon,Stone,NA,1982-06-29,29-06
42095,Mick Stone,Mick,Stone,NA,1949-07-05,05-07
42191,Bernard Sutton,Bernard,Sutton,NA,NA,NA
42549,Chris Sutton,Chris,Sutton,NA,1984-10-08,08-10
42376,Gerard Sutton,Gerard,Sutton,NA,1978-10-23,23-10
42380,Brett Suttor,Brett,Suttor,NA,NA,NA
42099,Billy Thompson,Billy,Thompson,NA,1933-09-21,21-09
42239,Arthur Thornton,Arthur,Thornton,NA,NA,NA
42285,Col Turnell,Col,Turnell,NA,NA,NA
42489,Baden Wales Jr,Baden,Wales Jr,NA,NA,NA
42253,Baden Wales,Baden,Wales,NA,NA,NA
42257,W Wall,W,Wall,NA,NA,NA
42321,Frank Walsh,Frank,Walsh,NA,NA,NA
42097,Chris Ward,Chris,Ward,NA,NA,NA
42071,Eddie Ward,Eddie,Ward,NA,1951-03-03,03-03
42264,R Ward,R,Ward,NA,NA,NA
42151,Martin Weekes,Martin,Weekes,NA,NA,NA
42147,Geoff Weeks,Geoff,Weeks,NA,NA,NA
20868,Aubrey Welch,Aubrey,Welch,NA,1876-09-12,12-09
42063,Graeme West,Graeme,West,NA,NA,NA
42105,Robin Whitfield,Robin,Whitfield,NA,1943-11-26,26-11
42339,Les Williams,Les,Williams,NA,NA,NA
42286,Doug Wintin,Doug,Wintin,NA,NA,NA
42488,Michael Wise,Michael,Wise,NA,NA,NA
42316,C York,C,York,NA,NA,NA
