player_id,full_name,first_name,last_name,nickname,birthday,birthdate,birthplace,total_matches,total_points
3621,Albert Broomham,Albert,Broomham,NA,1885-07-15,15-07,"St Leonards, New South Wales, Australia",67,102
8622,Richard Jarman,Richard,Jarman,Dick,1881-06-29,29-06,"Cape Town, Western Cape, South Africa",9,6
11395,Charles Mathieson,Charles,Mathieson,NA,1884-12-19,19-12,"Geelong, Victoria, Australia",5,9
8621,Frank Storie,Frank,Storie,NA,1883-10-17,17-10,England,13,24
3581,Jim Devereux,Jim,Devereux,NA,1887-06-27,27-06,"St Leonards, New South Wales, Australia",17,27
8623,Edward Fry,Edward,Fry,NA,1878-09-02,02-09,"Sydney, New South Wales, Australia",10,6
8711,Bill McCarthy,Bill,McCarthy,NA,1885-11-15,15-11,"Ashfield, New South Wales, Australia",16,30
3680,Tommy Anderson,Tommy,Anderson,NA,1887-05-10,10-05,"Sydney, New South Wales, Australia",32,71
3579,Sid Deane,Sid,Deane,NA,1885-03-21,21-03,"St Leonards, New South Wales, Australia",37,18
3583,Arthur Butler,Arthur,Butler,Artie,1882-06-08,08-06,"Brisbane, Queensland, Australia",137,116
12444,Maurice Lyons,Maurice,Lyons,NA,1881-02-19,19-02,NA,3,-
3696,Jack Leveson,Jack,Leveson,NA,1882-12-31,31-12,"Sydney, New South Wales, Australia",45,34
11881,Leonard Coste,Leonard,Coste,NA,1885-06-16,16-06,"St Leonards, New South Wales, Australia",4,-
8626,Harry Butler,Harry,Butler,NA,1886-10-20,20-10,"Alexandria, New South Wales, Australia",96,64
13453,Edmund Boland,Edmund,Boland,NA,1884-09-07,07-09,"Parramatta, New South Wales, Australia",40,3
3672,Jim Davis,Jim,Davis,NA,1887-04-13,13-04,"Sydney, New South Wales, Australia",89,87
11394,Harry Glanville,Harry,Glanville,Dosser,1880-10-31,31-10,"Redfern, New South Wales, Australia",8,32
8627,Jack Cochrane,Jack,Cochrane,NA,1882-03-21,21-03,"Sydney, New South Wales, Australia",9,3
12445,Joe Kendall,Joe,Kendall,NA,1882-04-26,26-04,"St Leonards, New South Wales, Australia",21,8
8664,Dick Green,Dick,Green,NA,1885-03-15,15-03,"Waverley, New South Wales, Australia",32,63
11403,Fred Notting,Fred,Notting,NA,1883-08-30,30-08,"Manly, New South Wales, Australia",11,12
3656,Johnny Rosewell,Johnny,Rosewell,NA,1880-11-23,23-11,"Sydney, New South Wales, Australia",39,22
3654,Denis Lutge,Denis,Lutge,NA,1879-11-26,26-11,"Mosman, New South Wales, Australia",4,3
3653,Arthur Hennessy,Arthur,Hennessy,NA,1876-09-24,24-09,"Sydney, New South Wales, Australia",30,23
12755,James Smith,James,Smith,Sugar,1882-09-22,22-09,"Newcastle, New South Wales, Australia",11,-
13269,Harry Pendergast,Harry,Pendergast,NA,1881-11-16,16-11,"Windsor, New South Wales, Australia",18,3
11490,William Bailey,William,Bailey,NA,1888-01-27,27-01,"Newcastle, New South Wales, Australia",15,57
8721,Lloyd Edwards,Lloyd,Edwards,NA,1883-06-25,25-06,"Rockhampton, Queensland, Australia",30,9
8659,Ted McGuinness,Ted,McGuinness,NA,1884-12-21,21-12,"Newtown, New South Wales, Australia",21,29
11386,James Ryan,James,Ryan,NA,1884-01-08,08-01,"Waterloo, New South Wales, Australia",16,3
8656,Artie Coleman,Artie,Coleman,NA,1882-03-31,31-03,"Newcastle, New South Wales, Australia",16,36
11387,Wally Ogaard,Wally,Ogaard,NA,1880-07-01,01-07,"Sydney, New South Wales, Australia",13,6
12440,Ernie Patfield,Ernie,Patfield,NA,1888-03-29,29-03,"Dungog, New South Wales, Australia",15,-
8713,Bert Wright,Bert,Wright,NA,1889-08-11,11-08,"Sydney, New South Wales, Australia",72,61
12439,George Hardy,George,Hardy,Pudden,1887-05-19,19-05,"Newcastle, New South Wales, Australia",8,9
12057,Charles Davis,Charles,Davis,NA,NA,NA,"Glebe, New South Wales, Australia",10,3
11404,Robert Lawson,Robert,Lawson,NA,1885-01-03,03-01,NA,13,15
3582,Arthur Halloway,Arthur,Halloway,NA,1885-07-17,17-07,"Sydney, New South Wales, Australia",152,177
12443,Arthur Richards,Arthur,Richards,NA,1886-03-24,24-03,"Wollongong, New South Wales, Australia",6,-
3607,Tom McCabe,Tom,McCabe,NA,1881-08-16,16-08,"Widnes, Cheshire, England",9,9
12442,Percy Kay,Percy,Kay,NA,1882-06-16,16-06,NA,5,-
12099,Augustus Veness,Augustus,Veness,Gus,1882-12-28,28-12,"Glebe, New South Wales, Australia",5,3
3641,Bob Nicholson,Bob,Nicholson,NA,1880-10-10,10-10,"Manning River, New South Wales, Australia",9,-
12437,Peter Moir,Peter,Moir,NA,1882-03-11,11-03,"Bathurst, New South Wales, Australia",10,11
8679,Clarrie Croft,Clarrie,Croft,NA,1880-03-13,13-03,NA,13,12
11392,Arthur Pearce,Arthur,Pearce,NA,NA,NA,"Newtown, New South Wales, Australia",7,3
8658,Stan Carpenter,Stan,Carpenter,NA,1879-09-22,22-09,NA,19,83
8726,John Moroney,John,Moroney,NA,1882-04-05,05-04,"Waterloo, New South Wales, Australia",15,3
11516,Jack Bartley,Jack,Bartley,Cock,1884-07-21,21-07,"Surry Hills, New South Wales, Australia",19,-
8675,Alex Burdon,Alex,Burdon,NA,1879-03-31,31-03,"Glebe, New South Wales, Australia",19,18
13872,Edgar Smith,Edgar,Smith,NA,1882-01-12,12-01,"Bega, New South Wales, Australia",1,-
3692,George Duffin,George,Duffin,NA,1887-10-14,14-10,"Stanmore, New South Wales, Australia",5,-
8651,Joe Regent,Joe,Regent,NA,NA,NA,"Rozelle, New South Wales, Australia",20,33
47364,Arthur Blake,Arthur,Blake,NA,1881-02-01,01-02,"Richmond, Tasmania, Australia",1,-
8703,George Wilcox,George,Wilcox,Podgy,1886-02-26,26-02,"Leichhardt, New South Wales, Australia",30,30
11653,Arthur Brown,Arthur,Brown,Juncker,1881-03-28,28-03,"Pyrmont, New South Wales, Australia",7,3
8655,Gerald Fitzpatrick,Gerald,Fitzpatrick,NA,NA,NA,"Sydney, New South Wales, Australia",30,71
12142,Bert Duggan,Bert,Duggan,NA,1887-07-26,26-07,"Newtown, New South Wales, Australia",4,-
8700,Alex Walker,Alex,Walker,NA,1884-10-16,16-10,New Zealand,27,18
12325,Percy Franks,Percy,Franks,NA,1885-12-13,13-12,"Sydney, New South Wales, Australia",16,-
8677,Alf Latta,Alf,Latta,Deucas,1882-10-16,16-10,"Balmain, New South Wales, Australia",41,46
12454,Lucien Gormley,Lucien,Gormley,NA,1876-05-14,14-05,"Parramatta, New South Wales, Australia",1,-
12428,Tommy O'Donnell,Tommy,O'Donnell,NA,1874-08-31,31-08,"Sydney, New South Wales, Australia",20,9
8645,Ray Gormley,Ray,Gormley,NA,1887-06-07,07-06,"Parramatta, New South Wales, Australia",19,9
8718,Andrew Bryant,Andrew,Bryant,NA,1886-03-11,11-03,"Tamworth, New South Wales, Australia",13,3
8734,Ted Mead,Ted,Mead,Bally,1882-07-23,23-07,"Bathurst, New South Wales, Australia",46,12
12282,George Fisher,George,Fisher,NA,1880-06-28,28-06,"Balmain, New South Wales, Australia",6,3
12170,William Elliott,William,Elliott,Bill,1882-11-24,24-11,England,22,-
8665,Alf Dobbs,Alf,Dobbs,NA,1878-09-18,18-09,"Sydney, New South Wales, Australia",6,9
12456,Tom Phelan,Tom,Phelan,NA,1881-06-27,27-06,Australia,13,3
8756,Ted McFadden,Ted,McFadden,Leather,1880-04-13,13-04,"Orange, New South Wales, Australia",33,3
12455,Alfred Mount,Alfred,Mount,NA,1882-06-11,11-06,"Burwood, New South Wales, Australia",5,-
3612,Robert Graves,Robert,Graves,NA,1880-09-01,01-09,"Sydney, New South Wales, Australia",61,41
8710,Jim Stack,Jim,Stack,NA,1880-02-24,24-02,"Yass, New South Wales, Australia",12,9
8693,Frank Ward,Frank,Ward,NA,NA,NA,"Yorkshire, England",35,3
3587,Jim Abercrombie,Jim,Abercrombie,NA,1880-12-31,31-12,"Curramulka, South Australia, Australia",12,10
11408,Joe Apolony,Joe,Apolony,NA,1880-12-25,25-12,"Gosford, New South Wales, Australia",43,27
12165,Fred Eklund,Fred,Eklund,NA,1883-03-20,20-03,"St Leonards, New South Wales, Australia",2,-
3605,Andy Morton,Andy,Morton,NA,1882-04-23,23-04,"Manly, New South Wales, Australia",20,42
11397,Lance Hansen,Lance,Hansen,NA,1885-01-28,28-01,"Coonamble, New South Wales, Australia",11,10
12852,Milton Laidlaw,Milton,Laidlaw,NA,1880-04-20,20-04,"Balmain, New South Wales, Australia",9,3
8789,Charlie Hedley,Charlie,Hedley,NA,1881-03-08,08-03,"Hamilton, New South Wales, Australia",29,38
12752,W Smith,W,Smith,NA,NA,NA,NA,2,-
11457,Bertie Andrews,Bertie,Andrews,NA,NA,NA,"Sydney, New South Wales, Australia",4,3
3606,Albert Conlon,Albert,Conlon,NA,1880-07-14,14-07,"Glebe, New South Wales, Australia",18,47
12533,Charles Meredith,Charles,Meredith,NA,1881-06-13,13-06,"Glebe, New South Wales, Australia",11,12
13077,Percy McCormack,Percy,McCormack,NA,1883-11-30,30-11,"Newtown, New South Wales, Australia",7,-
13013,Jim Moir,Jim,Moir,NA,NA,NA,"Bathurst, New South Wales, Australia",1,-
11707,Les Byleveld,Les,Byleveld,NA,1885-05-01,01-05,"Maryborough, Queensland, Australia",1,-
11933,Tom Watkins,Tom,Watkins,NA,1885-09-11,11-09,"Newtown, New South Wales, Australia",1,-
20741,Robert Ellis,Robert,Ellis,NA,1881-11-17,17-11,"Dalry, Edinburgh, Scotland",16,4
3681,Billy Cann,Billy,Cann,NA,1882-10-11,11-10,"Sydney, New South Wales, Australia",72,104
12925,Charles Luhr,Charles,Luhr,NA,1881-10-22,22-10,"Ashfield, New South Wales, Australia",7,-
8649,Harry Bloomfield,Harry,Bloomfield,NA,1882-10-07,07-10,"Canterbury, New South Wales, Australia",11,23
12429,F Wright,F,Wright,NA,NA,NA,NA,2,-
12430,Albert Halling,Albert,Halling,NA,1887-05-30,30-05,"Ashfield, New South Wales, Australia",13,-
11901,Claude Wallis,Claude,Wallis,Snowy,1887-03-25,25-03,"Nottingham, Nottinghamshire, England",12,3
12432,Francis O'Grady,Francis,O'Grady,NA,NA,NA,"Raymond Terrace, New South Wales, Australia",7,-
11456,Fred Andrews,Fred,Andrews,NA,1885-06-20,20-06,"St Marys, New South Wales, Australia",4,-
11897,George Cribb,George,Cribb,NA,1884-05-11,11-05,"Canterbury, New South Wales, Australia",5,-
12435,S Cole,S,Cole,NA,NA,NA,NA,2,-
12434,Alfred Harris,Alfred,Harris,NA,1879-09-24,24-09,"Redfern, New South Wales, Australia",6,-
11756,Albert Casson,Albert,Casson,NA,1884-12-07,07-12,"Newtown, New South Wales, Australia",2,-
10006,Thomas Lalor,Thomas,Lalor,NA,1882-01-01,01-01,"Penrith, New South Wales, Australia",8,-
13832,Vern Jarvis,Vern,Jarvis,Verna,1885-08-20,20-08,NA,14,-
8630,Maxwell Coxon,Maxwell,Coxon,NA,1882-12-20,20-12,"Bega, New South Wales, Australia",21,12
11755,Richard Casey,Richard,Casey,NA,1886-06-18,18-06,"Burwood, New South Wales, Australia",10,-
13313,George Price,George,Price,NA,1884-12-18,18-12,NA,4,3
20983,William Robinson,William,Robinson,Tinker,1889-03-12,12-03,"Newcastle, New South Wales, Australia",7,-
8689,George Cox,George,Cox,NA,1883-04-17,17-04,"Newcastle, New South Wales, Australia",17,9
52174,James Doyle,James,Doyle,NA,NA,NA,"Leichhardt, New South Wales, Australia",3,3
8660,Les Carpenter,Les,Carpenter,NA,NA,NA,NA,16,21
8890,Errol Taylor,Errol,Taylor,NA,NA,NA,NA,7,9
12770,Ernest Smith,Ernest,Smith,NA,1887-07-24,24-07,"Charters Towers, Queensland, Australia",4,-
8782,William Catt,William,Catt,NA,1883-03-26,26-03,"Grafton, New South Wales, Australia",10,6
8634,Percy MacNamara,Percy,MacNamara,NA,1873-12-01,01-12,Fiji,15,8
8906,Harry Thomson,Harry,Thomson,Tommo,1887-04-20,20-04,"Waverley, New South Wales, Australia",31,23
8741,Claude McFayden,Claude,McFayden,NA,1887-02-28,28-02,"Armidale, New South Wales, Australia",93,54
12172,Ted Ellis,Ted,Ellis,NA,1886-04-09,09-04,Australia,7,-
19972,Fred Prendergast,Fred,Prendergast,NA,1885-03-20,20-03,"Windsor, New South Wales, Australia",2,-
20740,Arthur Weymark,Arthur,Weymark,NA,NA,NA,"Sydney, New South Wales, Australia",1,-
11619,Harold Boyle,Harold,Boyle,NA,1888-03-06,06-03,"Glebe, New South Wales, Australia",3,-
13371,Syd Riley,Syd,Riley,NA,1878-04-18,18-04,NA,1,-
11414,Albert Abbott,Albert,Abbott,NA,1885-04-02,02-04,"Homebush, New South Wales, Australia",5,-
13499,A Hawkins,A,Hawkins,NA,NA,NA,NA,5,-
8888,Albert Burdus,Albert,Burdus,NA,1885-01-21,21-01,"Lithgow, New South Wales, Australia",22,3
11558,Ted Bellamy,Ted,Bellamy,NA,1884-10-12,12-10,"Parramatta, New South Wales, Australia",6,16
20742,William Hendry,William,Hendry,NA,1881-08-22,22-08,NA,1,-
12336,Frank Frost,Frank,Frost,NA,1888-07-02,02-07,"Five Dock, New South Wales, Australia",5,3
12570,Jim Hodgson,Jim,Hodgson,NA,1882-11-01,01-11,"Queanbeyan, New South Wales, Australia",5,13
8637,Harold Kelley,Harold,Kelley,NA,1880-01-20,20-01,"Sydney, New South Wales, Australia",17,8
8694,Ted Swinson,Ted,Swinson,NA,NA,NA,"Sydney, New South Wales, Australia",108,18
12278,Alfred Findlater,Alfred,Findlater,NA,1883-11-13,13-11,"St Leonards, New South Wales, Australia",3,-
51762,William Scott,William,Scott,NA,1883-06-18,18-06,"Newcastle, New South Wales, Australia",13,-
20868,Aubrey Welch,Aubrey,Welch,NA,1876-09-12,12-09,"Concord, New South Wales, Australia",1,-
8620,William Neill,William,Neill,NA,1884-06-21,21-06,"Paddington, New South Wales, Australia",44,-
20744,T Green,T,Green,NA,NA,NA,NA,1,-
11385,George Wells,George,Wells,NA,NA,NA,"Goulburn, New South Wales, Australia",2,-
8631,Tom Golden,Tom,Golden,NA,1880-10-28,28-10,"Concord, New South Wales, Australia",7,6
20745,Arthur Northwood,Arthur,Northwood,NA,1885-12-05,05-12,"London, Greater London, England",3,-
52179,E Maxwell,E,Maxwell,NA,NA,NA,NA,1,-
8644,James Speirs,James,Speirs,NA,1886-03-19,19-03,"Lidcombe, New South Wales, Australia",12,8
11898,Jack Cribb,Jack,Cribb,NA,1876-02-19,19-02,"Richmond, New South Wales, Australia",3,3
13503,Alex Fraser,Alex,Fraser,NA,1876-01-25,25-01,"Parramatta, New South Wales, Australia",1,-
20746,J Wilson,J,Wilson,NA,NA,NA,NA,1,-
11390,Norman Reid,Norman,Reid,NA,1882-01-25,25-01,"Pyrmont, New South Wales, Australia",5,-
11391,Vic Harris,Vic,Harris,NA,1878-12-04,04-12,"Ultimo, New South Wales, Australia",12,12
3580,Dally Messenger,Dally,Messenger,NA,1883-04-12,12-04,"Balmain, New South Wales, Australia",48,379
11862,Henry Cook,Henry,Cook,NA,1882-04-22,22-04,"St Leonards, New South Wales, Australia",1,-
12381,Eric Glasson,Eric,Glasson,NA,1886-06-05,05-06,"Kiama, New South Wales, Australia",5,3
14210,Herb Woodhill,Herb,Woodhill,NA,1875-02-03,03-02,NA,1,-
20749,James Smellie,James,Smellie,NA,1884-10-11,11-10,"Sydney, New South Wales, Australia",1,-
8624,Leo Senior,Leo,Senior,NA,1887-10-04,04-10,"Inverell, New South Wales, Australia",4,9
17236,Frank Courtney,Frank,Courtney,NA,1887-02-24,24-02,"Townsville, Queensland, Australia",4,3
12388,Cryalin Goulding,Cryalin,Goulding,NA,1882-06-28,28-06,"St Leonards, New South Wales, Australia",1,-
14259,Granville Gilbert,Granville,Gilbert,NA,1883-03-28,28-03,"Burwood, New South Wales, Australia",2,-
20750,Fred Nurcombe,Fred,Nurcombe,NA,1887-02-21,21-02,"Balmain, New South Wales, Australia",1,-
19971,Henry Powell,Henry,Powell,NA,1880-09-13,13-09,"Sydney, New South Wales, Australia",3,-
12196,Alexander Tait,Alexander,Tait,NA,NA,NA,"Edinburgh, Edinburgh, Scotland",1,-
8667,Arthur Bollard,Arthur,Bollard,NA,1879-04-17,17-04,"Mudgee, New South Wales, Australia",25,18
11399,John Rochester,John,Rochester,NA,1885-04-15,15-04,"Mudgee, New South Wales, Australia",4,12
14211,Alfred Playfair,Alfred,Playfair,NA,1871-03-21,21-03,"Sydney, New South Wales, Australia",1,-
20776,Joe Shakespeare,Joe,Shakespeare,NA,1886-03-31,31-03,NA,2,-
8775,George Green,George,Green,NA,1883-12-17,17-12,"Grafton, New South Wales, Australia",85,16
3683,Fred Woolley,Fred,Woolley,NA,1880-03-05,05-03,England,25,-
8676,T Smith,T,Smith,NA,NA,NA,NA,5,5
8662,Pat Carroll,Pat,Carroll,NA,1888-03-11,11-03,"Ultimo, New South Wales, Australia",12,3
20753,Walter Powell,Walter,Powell,NA,1887-08-08,08-08,"Sydney, New South Wales, Australia",2,-
12543,Horace Herington,Horace,Herington,NA,1886-11-09,09-11,"Adelaide, South Australia, Australia",8,-
13822,Ern Holloway,Ern,Holloway,NA,1886-11-04,04-11,"Ashfield, New South Wales, Australia",4,-
20754,Emett Donovan,Emett,Donovan,NA,1887-01-02,02-01,"Newtown, New South Wales, Australia",1,-
12034,Arthur Davidson,Arthur,Davidson,NA,NA,NA,NA,2,-
20755,J McCormack,J,McCormack,NA,NA,NA,NA,1,-
20756,Cecil Melton,Cecil,Melton,NA,NA,NA,"Hurstville, New South Wales, Australia",1,-
52181,Paddy Boland,Paddy,Boland,NA,1881-03-11,11-03,"Parramatta, New South Wales, Australia",1,-
11401,Herbert Odbert,Herbert,Odbert,NA,NA,NA,"Waikato, New Zealand",2,-
8642,Percy White,Percy,White,NA,1887-08-16,16-08,NA,89,29
20752,J Vaurne,J,Vaurne,NA,NA,NA,NA,2,-
3589,Pat Walsh,Pat,Walsh,NA,1879-05-03,03-05,"Cooks Hill, New South Wales, Australia",2,-
11480,Arthur Bagot,Arthur,Bagot,NA,1889-07-18,18-07,"Redfern, New South Wales, Australia",6,-
13092,Bede McEvoy,Bede,McEvoy,NA,NA,NA,"Sydney, New South Wales, Australia",1,-
11771,Herbert Chevell,Herbert,Chevell,NA,1888-03-31,31-03,"Newtown, New South Wales, Australia",14,3
8765,Joe Murray,Joe,Murray,NA,1887-10-06,06-10,"Newtown, New South Wales, Australia",74,39
14260,Charlie Elliott,Charlie,Elliott,NA,NA,NA,England,3,-
14212,William Leslie,William,Leslie,NA,1879-09-17,17-09,NA,1,-
13464,Dick Burdon,Dick,Burdon,NA,1877-08-08,08-08,"Sydney, New South Wales, Australia",4,-
8720,Jon Woodward,Jon,Woodward,NA,NA,NA,England,77,15
12080,Les Wylie,Les,Wylie,NA,1887-04-12,12-04,"Berrima, New South Wales, Australia",1,-
12124,James Douglas,James,Douglas,NA,1884-09-22,22-09,"Glebe, New South Wales, Australia",1,-
13476,Arthur Chambers,Arthur,Chambers,NA,1880-01-17,17-01,"Newcastle, New South Wales, Australia",1,-
5374,Bill King,Bill,King,Drummer,1886-10-04,04-10,NA,29,38
12791,Arch Sprouster,Arch,Sprouster,NA,1883-08-11,11-08,"Cowra, New South Wales, Australia",1,-
3684,Mick Frawley,Mick,Frawley,NA,1885-08-09,09-08,"Woollahra, New South Wales, Australia",44,50
11398,Heathwood Curphey,Heathwood,Curphey,NA,1879-08-08,08-08,"Sydney, New South Wales, Australia",1,-
8661,Edward O'Keefe,Edward,O'Keefe,NA,1888-11-18,18-11,"Glebe, New South Wales, Australia",10,7
8725,Stephen Lynch,Stephen,Lynch,NA,1876-08-15,15-08,"Sydney, New South Wales, Australia",16,3
11388,R Williams,R,Williams,NA,NA,NA,NA,1,3
11384,Bill Harden,Bill,Harden,NA,1876-07-14,14-07,"Waterloo, New South Wales, Australia",1,-
13869,Mick Sullivan,Mick,Sullivan,NA,NA,NA,NA,14,-
8628,Arthur McCallum,Arthur,McCallum,NA,1879-08-29,29-08,New Zealand,3,-
7522,Sid Pert,Sid,Pert,NA,1890-06-08,08-06,"Sydney, New South Wales, Australia",115,84
8641,Ted Briscoe,Ted,Briscoe,NA,1888-09-22,22-09,NA,4,3
12821,W Kennedy,W,Kennedy,NA,NA,NA,NA,1,-
8755,Ed Williams,Ed,Williams,NA,NA,NA,NA,7,9
8654,H Lee,H,Lee,NA,NA,NA,NA,10,6
11909,William Crompton,William,Crompton,NA,NA,NA,NA,10,-
12991,Robert Meredith,Robert,Meredith,NA,1886-07-16,16-07,"Burwood, New South Wales, Australia",1,-
12568,Harry Hocking,Harry,Hocking,NA,NA,NA,NA,3,-
12079,Walter Wright,Walter,Wright,NA,NA,NA,NA,5,-
13870,W Murray,W,Murray,Joe,NA,NA,NA,9,3
8766,John Chevall,John,Chevall,NA,NA,NA,NA,7,3
8650,S Moore,S,Moore,NA,NA,NA,NA,5,9
5406,Howard Hallett,Howard,Hallett,The Rock Of Gibraltar,1890-04-13,13-04,"Sydney, New South Wales, Australia",155,137
12068,George Dawson,George,Dawson,NA,NA,NA,NA,2,3
8751,J Davidson,J,Davidson,NA,NA,NA,NA,3,-
12299,Henry Fletcher,Henry,Fletcher,NA,1888-04-20,20-04,NA,5,3
12065,W Davis,W,Davis,NA,NA,NA,NA,1,-
12258,Jim Farrelly,Jim,Farrelly,NA,NA,NA,"Rylstone, New South Wales, Australia",16,-
13014,Peter Moko,Peter,Moko,NA,1885-05-09,09-05,"Rotorua, Bay of Plenty, New Zealand",2,5
12863,Arthur Lawes,Arthur,Lawes,NA,1884-01-19,19-01,"Penrith, New South Wales, Australia",2,6
8684,Eddie Griffiths,Eddie,Griffiths,NA,1891-07-18,18-07,"Pyrmont, New South Wales, Australia",53,29
8774,Tom Bruce,Tom,Bruce,NA,1885-04-19,19-04,NA,29,12
8672,Wally Webb,Wally,Webb,NA,1885-03-06,06-03,NA,7,6
13868,A Stewart,A,Stewart,NA,NA,NA,NA,3,-
8673,Arthur Surridge,Arthur,Surridge,Wicker,1884-05-05,05-05,"Sydney, New South Wales, Australia",12,54
12649,A Jones,A,Jones,NA,NA,NA,NA,6,-
20763,J Ryan,J,Ryan,NA,NA,NA,NA,3,-
13286,Malachi Pettiford,Malachi,Pettiford,NA,NA,NA,"Barmedman, New South Wales, Australia",1,-
11639,Nick Brien,Nick,Brien,NA,1881-01-23,23-01,"Newcastle, New South Wales, Australia",9,-
13280,Alexander Peters,Alexander,Peters,Spriggy,NA,NA,Scotland,1,-
11906,Jim Walsh,Jim,Walsh,NA,1887-03-22,22-03,"Newcastle, New South Wales, Australia",16,13
8844,Sydney McFarlane,Sydney,McFarlane,Micky,1887-02-17,17-02,"Crookwell, New South Wales, Australia",47,106
20759,William Murray,William,Murray,Poe,NA,NA,NA,7,6
12843,Cecil Kirkaldy,Cecil,Kirkaldy,NA,1884-04-14,14-04,"Newcastle, New South Wales, Australia",2,-
8643,Simon Banks,Simon,Banks,NA,1877-09-21,21-09,"Rylstone, New South Wales, Australia",4,6
13195,Joe Oates,Joe,Oates,NA,1889-01-17,17-01,NA,1,-
8682,Dick Moroney,Dick,Moroney,NA,1885-05-09,09-05,"Liverpool, New South Wales, Australia",24,42
12359,Arthur George,Arthur,George,NA,NA,NA,"Dubbo, New South Wales, Australia",1,-
8868,H Jones,H,Jones,NA,NA,NA,NA,8,3
12654,J Jones,J,Jones,NA,NA,NA,NA,8,-
13017,Ernest Montgomery,Ernest,Montgomery,NA,1888-09-27,27-09,NA,2,-
8653,Alby Hawkes,Alby,Hawkes,NA,1887-04-16,16-04,"Newtown, New South Wales, Australia",35,58
8696,Joe Hedge,Joe,Hedge,NA,1887-09-29,29-09,"St Leonards, New South Wales, Australia",5,6
11983,Austin Williams,Austin,Williams,NA,1890-02-15,15-02,"Glebe, New South Wales, Australia",2,-
13413,Alexander Ross,Alexander,Ross,NA,NA,NA,NA,5,6
13485,James Delaney,James,Delaney,NA,1879-08-24,24-08,"Goulburn, New South Wales, Australia",1,-
8666,Bill Maher,Bill,Maher,NA,NA,NA,NA,48,31
8695,Aney Morris,Aney,Morris,NA,1882-09-25,25-09,"Newtown, New South Wales, Australia",22,26
12016,Alfred Dale,Alfred,Dale,NA,1881-08-11,11-08,"Waverley, New South Wales, Australia",3,8
12673,Harry Sandow,Harry,Sandow,NA,1881-12-14,14-12,Germany,6,2
