player_id,full_name,first_name,last_name,nickname,birthday,birthdate,birthplace,total_matches,total_points
30106,Nita Maynard,Nita,Maynard,NA,1992-07-07,07-07,"Gisborne, Gisborne, New Zealand",37,4
30123,Tanika-Jazz Noble-Bell,Tanika-Jazz,Noble-Bell,NA,NA,NA,NA,4,-
30107,Sarah Togatuki,Sarah,Togatuki,NA,1997-10-14,14-10,NA,35,24
30124,Lorina Papali'i,Lorina,Papali'i,NA,NA,NA,NA,3,-
30108,Chloe Caldwell,Chloe,Caldwell,NA,1988-06-29,29-06,NA,2,-
30125,Kahurangi Peters,Kahurangi,Peters,NA,NA,NA,NA,1,-
30109,Victoria Latu,Victoria,Latu,NA,1993-03-22,22-03,NA,4,4
30126,Masuisuimatamaal Tauaua-Pauaraisa,Masuisuimatamaal,Tauaua-Pauaraisa,NA,NA,NA,NA,2,-
30129,Chelsea Baker,Chelsea,Baker,NA,NA,NA,NA,7,44
30148,Sam Bremner,Sam,Bremner,NA,1991-12-19,19-12,"Caringbah, New South Wales, Australia",19,36
30130,Julia Robinson,Julia,Robinson,NA,1998-01-06,06-01,"Ipswich, Queensland, Australia",34,92
30149,Rikeya Horne,Rikeya,Horne,NA,1999-09-14,14-09,NA,34,40
30131,Amelia Kuk,Amelia,Kuk,NA,NA,NA,NA,2,-
30150,Jessica Sergis,Jessica,Sergis,NA,1997-09-15,15-09,"Sydney, New South Wales, Australia",33,80
30132,Amber Pilley,Amber,Pilley,NA,NA,NA,NA,8,8
30151,Honey Hireme,Honey,Hireme,NA,NA,NA,NA,3,4
30133,Meg Ward,Meg,Ward,NA,NA,NA,NA,10,48
30152,Shakiah Tungai,Shakiah,Tungai,NA,1996-11-29,29-11,NA,26,56
30134,Kimiora Breayley-Nati,Kimiora,Breayley-Nati,NA,1988-06-17,17-06,"Auckland, Auckland, New Zealand",16,20
30153,Melanie Howard,Melanie,Howard,NA,1993-05-10,10-05,NA,7,8
30135,Ali Brigginshaw,Ali,Brigginshaw,NA,1989-12-01,01-12,"Ipswich, Queensland, Australia",43,122
30154,Raecene McGregor,Raecene,McGregor,NA,1997-10-23,23-10,"Randwick, New South Wales, Australia",41,70
30136,Heather Ballinger,Heather,Ballinger,NA,NA,NA,NA,4,4
30155,Teina Clark,Teina,Clark,NA,NA,NA,NA,3,-
30137,Brittany Breayley-Nati,Brittany,Breayley-Nati,NA,1991-02-07,07-02,NA,39,16
30156,Anneka Stephens,Anneka,Stephens,NA,1989-09-04,04-09,"Invercargill, Southland, New Zealand",3,-
30138,Stephanie Hancock,Stephanie,Hancock,NA,1982-03-09,09-03,NA,40,32
30157,Asoiva Karpani,Asoiva,Karpani,NA,NA,NA,NA,1,-
30139,Teuila Fotu-Moala,Teuila,Fotu-Moala,NA,1993-11-23,23-11,NA,14,4
30158,Kezie Apps,Kezie,Apps,NA,1991-02-04,04-02,"Bega, New South Wales, Australia",29,28
30140,Maitua Feterika,Maitua,Feterika,NA,NA,NA,NA,11,12
30159,Holli Wheeler,Holli,Wheeler,NA,1990-01-28,28-01,"Taree, New South Wales, Australia",37,12
30141,Rona Peters,Rona,Peters,NA,1988-05-21,21-05,NA,10,12
30160,Annette Brander,Annette,Brander,NA,1993-01-12,12-01,NA,12,4
30142,Lavinia Gould,Lavinia,Gould,NA,1983-03-15,15-03,NA,30,12
30161,Keeley Davis,Keeley,Davis,NA,2000-07-05,05-07,"Wollongong, New South Wales, Australia",43,16
30143,Chelsea Lenarduzzi,Chelsea,Lenarduzzi,NA,1995-11-26,26-11,NA,42,48
30162,Oneata Schwalger,Oneata,Schwalger,NA,NA,NA,NA,3,-
30144,Mariah Denman,Mariah,Denman,NA,1997-06-21,21-06,NA,23,16
30163,Hannah Southwell,Hannah,Southwell,NA,1999-03-04,04-03,NA,35,18
30145,Ngatokotoru Arakua,Ngatokotoru,Arakua,NA,NA,NA,NA,13,12
30164,Asipau Mafi,Asipau,Mafi,NA,NA,NA,NA,3,-
30165,Sharon McGrady,Sharon,McGrady,NA,1993-03-14,14-03,NA,1,-
30167,Karley Te Kawa,Karley,Te Kawa,NA,NA,NA,NA,2,4
30166,Ruan Sims,Ruan,Sims,NA,1982-02-04,04-02,"Gerringong, New South Wales, Australia",6,4
30170,Lisa Edwards,Lisa,Edwards,NA,NA,NA,NA,1,-
30171,Crystal Tamarua,Crystal,Tamarua,NA,1995-07-30,30-07,"Auckland, Auckland, New Zealand",9,-
30168,Talesha Quinn,Talesha,Quinn,NA,NA,NA,NA,11,-
30172,Amber Kani,Amber,Kani,NA,NA,NA,NA,2,-
30169,Kate Haren,Kate,Haren,NA,NA,NA,NA,2,-
30173,Racquel Anderson,Racquel,Anderson,NA,NA,NA,NA,2,4
30174,Kody House,Kody,House,NA,NA,NA,NA,7,8
30177,Sui Tauasa Pauaraisa,Sui Tauasa,Pauaraisa,NA,NA,NA,NA,1,-
30175,Tallisha Harden,Tallisha,Harden,NA,1992-07-21,21-07,"Logan City, Queensland, Australia",36,8
30178,Va'anessa Molia-Fraser,Va'anessa,Molia-Fraser,NA,NA,NA,NA,1,-
30179,Brydie Parker,Brydie,Parker,NA,1999-10-25,25-10,NA,28,48
30180,Kandy Kennedy,Kandy,Kennedy,NA,1996-02-17,17-02,NA,2,-
30182,Corban Baxter,Corban,Baxter,NA,1994-04-10,10-04,NA,22,36
30188,Jules Newman,Jules,Newman,NA,NA,NA,NA,3,-
30189,Atawhai Tupaea,Atawhai,Tupaea,NA,NA,NA,NA,3,4
30183,Kiana Takairangi,Kiana,Takairangi,NA,1992-07-20,20-07,"Caringbah, New South Wales, Australia",13,24
30190,Madison Bartlett,Madison,Bartlett,NA,1994-12-05,05-12,"Wairoa, Hawke's Bay, New Zealand",34,104
30184,Kirra Dibb,Kirra,Dibb,NA,1997-07-23,23-07,NA,36,144
30191,Timaima Ravisa,Timaima,Ravisa,NA,NA,NA,NA,2,-
30192,Charntay Poko,Charntay,Poko,NA,NA,NA,NA,8,8
30193,Kathleen Wharton,Kathleen,Wharton,NA,NA,NA,NA,3,-
30194,Kanyon Paul,Kanyon,Paul,NA,NA,NA,NA,5,-
30185,Rebecca Young,Rebecca,Young,NA,1981-12-27,27-12,NA,2,-
30195,Billy-Jean Ale,Billy-Jean,Ale,NA,NA,NA,NA,3,-
30186,Aliti Namoce,Aliti,Namoce,NA,1997-12-31,31-12,NA,4,-
30187,Caitlan Johnston,Caitlan,Johnston,NA,2001-01-12,12-01,"Belmont, New South Wales, Australia",23,16
30196,Stephanie Mooka,Stephanie,Mooka,NA,NA,NA,NA,1,-
30201,Tamika Upton,Tamika,Upton,NA,1997-03-17,17-03,"Rockhampton, Queensland, Australia",38,104
30202,Amy Turner,Amy,Turner,NA,1984-03-25,25-03,NA,13,12
30197,Tiana Penitani,Tiana,Penitani,NA,1996-01-12,12-01,NA,36,72
30203,Millie Elliott,Millie,Elliott,NA,1998-05-19,19-05,"Cobargo, New South Wales, Australia",38,28
30204,Amber Hall,Amber,Hall,NA,1995-01-07,07-01,"Auckland, Auckland, New Zealand",29,36
30198,Shaylee Bent,Shaylee,Bent,NA,2000-09-13,13-09,"Penrith, New South Wales, Australia",39,16
30205,Tarryn Aiken,Tarryn,Aiken,NA,1999-07-14,14-07,"Gosford, New South Wales, Australia",38,59
30199,Takilele Katoa,Takilele,Katoa,NA,NA,NA,NA,4,-
30200,Maddison Weatherall,Maddison,Weatherall,NA,NA,NA,NA,12,4
30206,Jessika Elliston,Jessika,Elliston,NA,1997-10-17,17-10,NA,36,20
30207,Simone Smith,Simone,Smith,NA,1993-04-08,08-04,NA,3,4
30208,Roela Radiniyavuni,Roela,Radiniyavuni,NA,NA,NA,NA,1,-
30210,Najvada George,Najvada,George,NA,1999-02-21,21-02,NA,27,-
30209,Tyler Reid,Tyler,Reid,NA,NA,NA,NA,1,-
30211,Aaliayah Fasavalu-Faamausili,Aaliayah,Fasavalu-Faamausili,NA,NA,NA,NA,6,4
30212,Tasia Seumanufagai,Tasia,Seumanufagai,NA,NA,NA,NA,1,-
30213,Bobbi Law,Bobbi,Law,NA,1997-06-04,04-06,NA,26,28
30214,Shanice Parker,Shanice,Parker,NA,1998-05-16,16-05,"Yangebup, Western Australia, Australia",33,32
30215,Quincy Dodd,Quincy,Dodd,NA,2000-04-13,13-04,NA,38,44
30216,Jasmine Allende,Jasmine,Allende,NA,1996-08-28,28-08,NA,1,-
30252,Yasmin Clydsdale,Yasmin,Clydsdale,NA,1994-03-25,25-03,NA,39,48
30258,Jaime Chapman,Jaime,Chapman,NA,2002-03-17,17-03,"Sutherland, New South Wales, Australia",31,76
30253,Charlotte Caslick,Charlotte,Caslick,NA,1995-03-09,09-03,NA,2,-
30254,Filomina Hanisi,Filomina,Hanisi,NA,2001-03-09,09-03,NA,24,-
30259,Elsie Albert,Elsie,Albert,NA,1996-05-20,20-05,NA,25,20
30255,Kaitlyn Phillips,Kaitlyn,Phillips,NA,1997-07-09,09-07,NA,12,4
30260,Ellie Johnston,Ellie,Johnston,NA,2000-10-24,24-10,NA,35,48
30261,Christine Pauli,Christine,Pauli,NA,NA,NA,NA,5,-
30256,Kennedy Cherrington,Kennedy,Cherrington,NA,1999-01-05,05-01,"Sydney, New South Wales, Australia",27,20
30262,Talei Holmes,Talei,Holmes,NA,2000-05-23,23-05,NA,29,-
30257,Jocelyn Kelleher,Jocelyn,Kelleher,NA,2000-02-17,17-02,NA,37,162
30263,Mahalia Murphy,Mahalia,Murphy,NA,1994-01-19,19-01,NA,21,24
30264,Lauren Brown,Lauren,Brown,NA,1995-04-18,18-04,"Gold Coast, Queensland, Australia",33,118
30268,Teaghan Hartigan,Teaghan,Hartigan,NA,NA,NA,NA,2,-
30265,Jayme Fressard,Jayme,Fressard,NA,1997-06-27,27-06,NA,29,72
30269,Evania Pelite,Evania,Pelite,NA,1995-07-12,12-07,"Caboolture, Queensland, Australia",33,52
30270,Ellia Green,Ellia,Green,NA,NA,NA,NA,3,8
30271,Kayla Sauvao,Kayla,Sauvao,NA,NA,NA,NA,2,-
30272,Shaniah Power,Shaniah,Power,NA,1997-03-20,20-03,NA,23,24
30273,Taimane Levu,Taimane,Levu,NA,NA,NA,NA,2,-
30266,Shannon Mato,Shannon,Mato,NA,1998-08-21,21-08,"Whangarei, Northland, New Zealand",31,12
30274,Samantha Economos,Samantha,Economos,NA,1994-02-27,27-02,NA,13,-
30267,Tyler Birch,Tyler,Birch,NA,NA,NA,NA,2,-
30275,Brianna Clark,Brianna,Clark,NA,1995-05-25,25-05,"Brisbane, Queensland, Australia",26,28
30331,Michaela Peck,Michaela,Peck,NA,NA,NA,NA,2,-
30333,Grace Hamilton,Grace,Hamilton,NA,1992-04-04,04-04,NA,10,-
30332,Stephanie Ball,Stephanie,Ball,NA,NA,NA,NA,1,-
30334,Georgia Page,Georgia,Page,NA,NA,NA,NA,6,-
30335,Shenae Ciesiolka,Shenae,Ciesiolka,NA,1997-08-07,07-08,"Toowoomba, Queensland, Australia",32,68
30439,Teagan Berry,Teagan,Berry,NA,2002-05-20,20-05,NA,32,118
30440,Jade Etherden,Jade,Etherden,NA,NA,NA,NA,3,-
30441,Naomi Kara,Naomi,Kara,NA,NA,NA,NA,1,-
30442,Laken Paitai,Laken,Paitai,NA,NA,NA,NA,1,-
30336,Amelia Mafi,Amelia,Mafi,NA,1995-06-22,22-06,NA,10,4
30337,Romy Teitzel,Romy,Teitzel,NA,1999-02-23,23-02,"Townsville, Queensland, Australia",32,84
30338,Chante Temara,Chante,Temara,NA,2001-05-24,24-05,NA,21,4
31554,Emma Tonegato,Emma,Tonegato,NA,1995-03-20,20-03,"Wollongong, New South Wales, Australia",31,32
31560,Tiana Raftstrand-Smith,Tiana,Raftstrand-Smith,NA,2003-06-17,17-06,NA,27,30
31555,Page McGregor,Page,McGregor,NA,1999-03-11,11-03,"Yagoona, New South Wales, Australia",12,16
31561,Lauren Dam,Lauren,Dam,Loz,1996-12-05,05-12,"Dubbo, New South Wales, Australia",19,36
31562,Jetaya Faifua,Jetaya,Faifua,NA,2003-05-31,31-05,NA,18,16
31556,Taliah Fuimaono,Taliah,Fuimaono,NA,1999-05-11,11-05,"Penrith, New South Wales, Australia",21,8
31563,Grace Griffin,Grace,Griffin,NA,1990-12-17,17-12,"Sale, Victoria, Australia",6,-
31557,Rachael Pearson,Rachael,Pearson,NA,1993-08-30,30-08,NA,27,115
31564,Zara Canfield,Zara,Canfield,Za,2001-01-29,29-01,"Tweed Heads, New South Wales, Australia",24,28
31565,Destiny Brill,Destiny,Brill,Moko,2003-06-10,10-06,"New Plymouth, Taranaki, New Zealand",30,36
31558,Tegan Dymock,Tegan,Dymock,NA,2002-07-21,21-07,NA,25,8
31559,Janelle Williams,Janelle,Williams,NA,NA,NA,NA,4,-
31566,Leianne Tufuga,Leianne,Tufuga,NA,2001-11-29,29-11,NA,28,40
31567,Taylor-Adeline Mapusua,Taylor-Adeline,Mapusua,NA,1998-06-07,07-06,NA,4,8
31574,Emily Bass,Emily,Bass,Bassy,1998-10-01,01-10,"Toowoomba, Queensland, Australia",18,48
31568,Olivia Higgins,Olivia,Higgins,NA,1992-09-15,15-09,NA,35,44
31569,Tayla Predebon,Tayla,Predebon,NA,2000-11-20,20-11,NA,34,24
31570,Olivia Kernick,Olivia,Kernick,NA,2001-01-10,10-01,"Sydney, New South Wales, Australia",34,52
31576,Nakita Sao,Nakita,Sao,NA,NA,NA,NA,1,-
31571,Shawden Burton,Shawden,Burton,NA,1999-11-04,04-11,NA,13,-
31577,Jada Ferguson,Jada,Ferguson,NA,2002-07-08,08-07,NA,26,12
31572,Keilee Joseph,Keilee,Joseph,NA,2002-01-19,19-01,"Brisbane, Queensland, Australia",32,12
31573,Simone Karpani,Simone,Karpani,NA,1997-06-16,16-06,NA,24,-
31578,Roxette Murdoch-Masila,Roxette,Murdoch-Masila,NA,1992-08-10,10-08,NA,16,8
31579,Sara Sautia,Sara,Sautia,NA,2002-08-21,21-08,NA,15,-
31580,Katelyn Vaha'akolo,Katelyn,Vaha'akolo,NA,2000-04-18,18-04,NA,5,4
31588,Taina Naividi,Taina,Naividi,NA,2001-04-12,12-04,"Gosford, New South Wales, Australia",11,4
31589,Jocephy Daniels,Jocephy,Daniels,NA,NA,NA,NA,3,-
31581,Katie Green,Katie,Green,NA,NA,NA,NA,3,-
31582,Autumn-Rain Stephens-Daly,Autumn-Rain,Stephens-Daly,NA,1996-08-06,06-08,"Rotorua, Bay of Plenty, New Zealand",11,12
31590,Sereana Naitokatoka,Sereana,Naitokatoka,NA,2001-06-02,02-06,NA,19,8
31583,Tahlulah Tillett,Tahlulah,Tillett,NA,1998-08-30,30-08,NA,19,-
31591,Tommaya Kelly-Sines,Tommaya,Kelly-Sines,NA,1994-12-26,26-12,NA,16,-
31584,Rangimarie Edwards-Bruce,Rangimarie,Edwards-Bruce,NA,NA,NA,NA,5,-
31585,Emma Manzelmann,Emma,Manzelmann,NA,2001-11-30,30-11,NA,30,20
31592,Shirley Mailangi,Shirley,Mailangi,NA,1997-05-12,12-05,NA,12,4
31586,Charlotte Scanlan,Charlotte,Scanlan,NA,1988-07-30,30-07,"Wellington, New South Wales, Australia",5,-
31593,Abbi Church,Abbi,Church,NA,1998-03-06,06-03,NA,26,20
31587,Phoebe Desmond,Phoebe,Desmond,NA,NA,NA,NA,4,4
31594,Therese Aiton,Therese,Aiton,NA,1989-04-01,01-04,NA,2,-
31620,Hagiga Mosby,Hagiga,Mosby,NA,2000-06-12,12-06,NA,6,16
31621,Hayley Maddick,Hayley,Maddick,NA,1992-05-25,25-05,NA,28,24
31623,Jasmine Peters,Jasmine,Peters,NA,2002-07-07,07-07,NA,26,44
31622,Mya Hill-Moana,Mya,Hill-Moana,NA,2002-05-06,06-05,"Auckland, Auckland, New Zealand",25,4
31624,April Ngatupuna,April,Ngatupuna,NA,2003-04-20,20-04,"Porirua, Wellington, New Zealand",14,4
31615,Keele Browne,Keele,Browne,NA,2002-08-16,16-08,NA,23,20
31616,Aliti Namoce-Sagano,Aliti,Namoce-Sagano,NA,NA,NA,NA,4,-
31618,Christian Pio,Christian,Pio,NA,2000-07-06,06-07,NA,29,12
31619,Jamie-Anne Wright,Jamie-Anne,Wright,NA,NA,NA,NA,3,-
31617,Renee Targett,Renee,Targett,NA,1994-10-28,28-10,NA,15,-
31634,Toni Hunt,Toni,Hunt,NA,NA,NA,NA,3,4
31633,Chantel Tugaga,Chantel,Tugaga,NA,2002-02-15,15-02,NA,3,-
31631,Hailee-Jay Maunsell,Hailee-Jay,Maunsell,NA,2004-02-23,23-02,"Invercargill, Southland, New Zealand",11,16
31630,Emily Curtain,Emily,Curtain,NA,NA,NA,NA,9,6
31632,Laikha Clarke,Laikha,Clarke,NA,2001-10-07,07-10,NA,19,8
31647,China Polata,China,Polata,NA,2002-02-26,26-02,NA,15,8
31646,Cobie-Jane Morgan,Cobie-Jane,Morgan,NA,NA,NA,NA,3,-
31648,Lesa Kaleti Mata'afa,Lesa Kaleti,Mata'afa,NA,NA,NA,NA,1,-
31649,Kyra Simon,Kyra,Simon,NA,2002-08-11,11-08,NA,7,-
31650,Kararaina Wira-Kohu,Kararaina,Wira-Kohu,NA,1992-03-09,09-03,"Whangarei, Northland, New Zealand",1,-
31651,Alexandra Sulusi,Alexandra,Sulusi,NA,NA,NA,NA,1,-
31652,Paige Parker,Paige,Parker,NA,NA,NA,NA,1,4
31653,Chantelle Graham,Chantelle,Graham,NA,NA,NA,NA,1,-
31654,Shannon Evans,Shannon,Evans,NA,NA,NA,NA,1,-
31668,Joeli Morris,Joeli,Morris,Joels,2001-12-25,25-12,"Gosford, New South Wales, Australia",7,4
33977,Gayle Broughton,Gayle,Broughton,NA,1996-06-05,05-06,NA,23,28
33978,Tess Staines,Tess,Staines,NA,2001-10-04,04-10,NA,11,8
33979,Brooke-Morgan Walker,Brooke-Morgan,Walker,NA,1995-01-03,03-01,NA,1,4
33980,Losana Lutu,Losana,Lutu,NA,2004-04-29,29-04,NA,13,10
33982,Brooke Anderson,Brooke,Anderson,NA,1996-01-23,23-01,NA,25,12
33602,Kalosipani Hopoate,Kalosipani,Hopoate,NA,2004-03-18,18-03,NA,24,8
33983,Rima Butler,Rima,Butler,NA,1997-12-20,20-12,NA,20,12
33984,Otesa Pule,Otesa,Pule,NA,2003-05-28,28-05,"Middlemore, Auckland, New Zealand",27,32
33986,Andie Robinson,Andie,Robinson,NA,2002-03-05,05-03,NA,11,8
33987,Monalisa Soliola,Monalisa,Soliola,NA,2004-07-21,21-07,NA,20,20
33988,Tara McGrath-West,Tara,McGrath-West,NA,2001-06-26,26-06,NA,13,-
33991,Jesse Southwell,Jesse,Southwell,NA,2005-02-12,12-02,NA,27,142
33993,Sophie Holyman,Sophie,Holyman,NA,1997-11-18,18-11,NA,23,12
33994,Jasmine Fogavini,Jasmine,Fogavini,NA,1997-02-03,03-02,NA,15,-
34006,Zali Fay,Zali,Fay,NA,2001-02-07,07-02,NA,24,24
34007,Tayla Preston,Tayla,Preston,NA,1999-09-27,27-09,NA,26,132
34008,Ashleigh Quinlan,Ashleigh,Quinlan,NA,1994-12-08,08-12,NA,23,16
33985,Ruby-Jean Kennard,Ruby-Jean,Kennard,NA,2003-08-30,30-08,NA,14,-
34009,Makenzie Weale,Makenzie,Weale,NA,2002-06-26,26-06,NA,13,8
34026,Cassie Staples,Cassie,Staples,NA,1992-10-16,16-10,NA,17,24
34027,Hannah Larsson,Hannah,Larsson,NA,2003-01-27,27-01,NA,3,-
34029,Jakiya Whitfeld,Jakiya,Whitfeld,NA,2001-06-11,11-06,NA,20,40
33992,Caitlin Moran,Caitlin,Moran,NA,1996-11-20,20-11,NA,7,-
34030,Tiana Davison,Tiana,Davison,NA,2000-10-26,26-10,NA,16,8
34028,Rueben Cherrington,Rueben,Cherrington,NA,2003-08-06,06-08,NA,12,4
34072,Cassey Tohi-Hiku,Cassey,Tohi-Hiku,NA,2003-10-22,22-10,NA,22,12
33989,Zali Hopkins,Zali,Hopkins,NA,2002-06-02,02-06,NA,19,12
34073,Jasmin Strange,Jasmin,Strange,NA,2002-12-21,21-12,NA,23,24
34074,Emmanita Paki,Emmanita,Paki,NA,2003-01-02,02-01,NA,4,8
34077,Jada Taylor,Jada,Taylor,NA,2003-08-14,14-08,NA,9,16
34078,Shannon Rose,Shannon,Rose,NA,1997-04-08,08-04,NA,1,-
34079,Angelina Teakaraanga-Katoa,Angelina,Teakaraanga-Katoa,NA,2002-03-10,10-03,NA,19,-
34081,Jessica Gentle,Jessica,Gentle,NA,1996-07-28,28-07,NA,3,8
34080,Kayla Romaniuk,Kayla,Romaniuk,NA,2002-02-22,22-02,NA,24,12
33456,Fran Goldthorp,Fran,Goldthorp,NA,2003-01-11,11-01,"Leeds, West Yorkshire, England",16,12
44309,Destiny Mino-Sinapati,Destiny,Mino-Sinapati,NA,NA,NA,NA,10,12
44607,Niall Williams-Guthrie,Niall,Williams-Guthrie,NA,1988-04-21,21-04,NA,17,8
34137,Shellie Long,Shellie,Long,NA,2000-08-14,14-08,NA,11,4
36968,Mia Middleton,Mia,Middleton,NA,NA,NA,NA,4,-
44322,Krystal Blackwell,Krystal,Blackwell,NA,2002-10-20,20-10,NA,15,8
34322,Chantay Kiria-Ratu,Chantay,Kiria-Ratu,NA,NA,NA,NA,11,12
34117,Sareka Mooka,Sareka,Mooka,NA,1999-12-10,10-12,NA,12,4
36970,Bree Chester,Bree,Chester,NA,2002-06-28,28-06,NA,17,12
34124,Sera Koroi,Sera,Koroi,NA,NA,NA,NA,8,-
44326,Vitalina Naikore,Vitalina,Naikore,NA,2000-08-25,25-08,NA,11,20
44316,Sheridan Gallagher,Sheridan,Gallagher,NA,2002-01-02,02-01,NA,19,78
34654,Abigail Roache,Abigail,Roache,NA,2000-09-12,12-09,NA,20,36
44346,Shenai Lendill,Shenai,Lendill,NA,1999-10-01,01-10,NA,18,8
44347,Tyla Nathan-Wong,Tyla,Nathan-Wong,NA,NA,NA,NA,13,20
33614,Laishon Albert-Jones,Laishon,Albert-Jones,NA,1997-10-17,17-10,NA,20,12
38164,Alexis Tauaneai,Alexis,Tauaneai,NA,2005-01-01,01-01,NA,16,12
38166,Ella Koster,Ella,Koster,NA,NA,NA,NA,14,20
38162,Jamilee Bright,Jamilee,Bright,NA,1997-12-29,29-12,NA,16,6
44318,Viena Tinao,Viena,Tinao,NA,NA,NA,NA,10,-
44317,Tamerah Leati,Tamerah,Leati,NA,NA,NA,NA,1,-
38169,Sophie Clancy,Sophie,Clancy,NA,2003-06-08,08-06,NA,9,4
34311,Mele Hufanga,Mele,Hufanga,NA,1994-10-18,18-10,NA,20,68
44281,Ashleigh Werner,Ashleigh,Werner,NA,NA,NA,NA,7,8
44609,Breanna Eales,Breanna,Eales,NA,NA,NA,NA,8,-
38175,Josie Lenaz,Josie,Lenaz,NA,NA,NA,NA,6,4
44338,Pihuka Berryman-Duff,Pihuka,Berryman-Duff,NA,NA,NA,NA,9,2
44358,Pauline Piliae-Rasabale,Pauline,Piliae-Rasabale,NA,1993-02-03,03-02,NA,18,60
44327,Jade Fonua,Jade,Fonua,NA,NA,NA,NA,14,-
44331,Madeline Jones,Madeline,Jones,NA,NA,NA,NA,17,-
38176,Ebony Prior,Ebony,Prior,NA,NA,NA,NA,13,8
44356,Eliza Siilata,Eliza,Siilata,NA,NA,NA,NA,8,-
36965,Capri Paekau,Capri,Paekau,NA,NA,NA,NA,5,-
38170,Sophie Curtain,Sophie,Curtain,NA,2001-08-07,07-08,NA,15,-
33599,Shannon Muru,Shannon,Muru,NA,NA,NA,NA,4,-
44333,Monique Donovan,Monique,Donovan,NA,NA,NA,NA,15,32
44361,Taylor Osborne,Taylor,Osborne,NA,NA,NA,NA,6,-
44357,Folau Vaki,Folau,Vaki,NA,NA,NA,NA,3,-
38172,Rebecca Pollard,Rebecca,Pollard,NA,1999-06-01,01-06,NA,11,24
44300,Annessa Biddle,Annessa,Biddle,NA,NA,NA,NA,19,24
44285,Cheyelle Robins-Reti,Cheyelle,Robins-Reti,NA,1997-03-05,05-03,NA,18,16
34334,Mackenzie Wiki,Mackenzie,Wiki,NA,2001-09-28,28-09,NA,14,16
36966,Harata Butler,Harata,Butler,NA,1993-06-28,28-06,NA,13,-
33465,Hollie-Mae Dodd,Hollie-Mae,Dodd,NA,2003-07-26,26-07,"Pontefract, West Yorkshire, England",15,8
44287,Emma Barnes,Emma,Barnes,NA,2004-04-29,29-04,NA,14,12
44308,Rhiannon Byers,Rhiannon,Byers,NA,NA,NA,NA,11,4
44288,Grace Kemp,Grace,Kemp,NA,2001-06-08,08-06,NA,18,12
34333,Jazmon Tupou-Witchman,Jazmon,Tupou-Witchman,NA,2003-12-19,19-12,NA,3,-
34325,Kerehitina Matua,Kerehitina,Matua,NA,1999-09-03,03-09,NA,16,8
44302,Chloe Saunders,Chloe,Saunders,NA,NA,NA,NA,18,8
44290,Tara Reinke,Tara,Reinke,NA,1999-07-18,18-07,NA,16,-
34116,Ahlivia Ingram,Ahlivia,Ingram,NA,NA,NA,NA,3,-
44311,Sienna Lofipo,Sienna,Lofipo,NA,2005-05-04,04-05,NA,14,12
44310,Rilee Jorgensen,Rilee,Jorgensen,NA,NA,NA,NA,12,4
34119,Dannii Perese,Dannii,Perese,NA,2004-07-16,16-07,NA,12,4
