,year,date,time,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,1991,"Wednesday, 29th May, 1991",8:00 PM (local time),2343,1,"41,520",81,BLUES,8,14,5,MAROONS,6,12,6
0,1991,"Wednesday, 12th June, 1991",8:00 PM (local time),2344,22,"33,226",4,MAROONS,8,14,4,BLUES,4,12,4
0,1992,"Wednesday, 6th May, 1992",8:00 PM (local time),2345,1,"40,039",858,BLUES,6,14,4,MAROONS,6,6,4
0,1992,"Wednesday, 20th May, 1992",8:00 PM (local time),2346,22,"31,500",1001,MAROONS,4,5,4,BLUES,4,4,4
0,1992,"Wednesday, 3rd June, 1992",8:02 PM (local time),2347,1,"41,878",211,BLUES,4,16,7,MAROONS,2,4,8
0,1993,"Monday, 3rd May, 1993",8:00 PM (local time),2348,22,"33,000",211,MAROONS,2,10,4,BLUES,12,14,3
0,1993,"Monday, 17th May, 1993",8:00 PM (local time),2349,1,"41,895",192,BLUES,0,16,7,MAROONS,6,12,5
0,1993,"Monday, 31st May, 1993",8:00 PM (local time),2350,22,"31,500",65,MAROONS,8,24,8,BLUES,12,12,5
0,1994,"Monday, 23rd May, 1994",8:00 PM (local time),2351,1,"41,859",222,BLUES,6,12,7,MAROONS,4,16,9
0,1994,"Wednesday, 8th June, 1994",8:00 PM (local time),2352,37,"87,161",396,BLUES,8,14,9,MAROONS,0,0,12
0,1994,"Monday, 20th June, 1994",8:00 PM (local time),2353,22,"40,000",858,MAROONS,6,12,3,BLUES,18,27,3
0,1995,"Monday, 15th May, 1995",8:00 PM (local time),2354,1,"39,184",247,BLUES,0,0,5,MAROONS,2,2,7
0,1995,"Wednesday, 31st May, 1995",8:00 PM (local time),2355,37,"52,994",94,BLUES,2,12,10,MAROONS,8,20,7
0,1995,"Monday, 12th June, 1995",8:00 PM (local time),2356,22,"40,189",179,MAROONS,12,24,6,BLUES,10,16,6
0,1996,"Monday, 20th May, 1996",8:00 PM (local time),2357,22,"39,348",505,MAROONS,0,6,9,BLUES,10,14,7
0,1996,"Monday, 3rd June, 1996",8:00 PM (local time),2358,1,"41,955",276,BLUES,8,18,13,MAROONS,6,6,8
0,1996,"Monday, 17th June, 1996",8:00 PM (local time),2359,22,"38,217",263,MAROONS,2,14,9,BLUES,6,15,5
0,1997,"Wednesday, 28th May, 1997",8:00 PM (local time),2360,22,"28,222",505,MAROONS,0,6,6,BLUES,8,8,6
0,1997,"Wednesday, 11th June, 1997",8:00 PM (local time),2361,37,"25,105",558,BLUES,14,15,5,MAROONS,10,14,6
0,1997,"Wednesday, 25th June, 1997",8:00 PM (local time),2362,1,"33,241",247,BLUES,2,12,9,MAROONS,12,18,6
0,1998,"Friday, 22nd May, 1998",8:00 PM (local time),2367,1,"36,070",227,BLUES,13,23,1,MAROONS,6,24,3
0,1998,"Friday, 5th June, 1998",8:00 PM (local time),2368,22,"40,447",516,MAROONS,6,10,4,BLUES,20,26,2
0,1998,"Friday, 19th June, 1998",8:00 PM (local time),2369,1,"38,952",113,BLUES,4,4,4,MAROONS,12,19,1
0,1999,"Wednesday, 26th May, 1999",8:00 PM (local time),2370,22,"38,093",641,MAROONS,4,9,8,BLUES,6,8,6
0,1999,"Wednesday, 9th June, 1999",8:00 PM (local time),2371,20,"88,336",210,BLUES,12,12,5,MAROONS,8,8,4
0,1999,"Wednesday, 23rd June, 1999",8:00 PM (local time),2372,22,"39,371",225,MAROONS,6,10,3,BLUES,6,10,5
0,2000,"Wednesday, 10th May, 2000",8:00 PM (local time),2373,20,"61,511",189,BLUES,6,20,5,MAROONS,8,16,5
0,2000,"Wednesday, 24th May, 2000",8:00 PM (local time),2374,22,"38,796",192,MAROONS,4,10,8,BLUES,0,28,5
0,2000,"Wednesday, 7th June, 2000",8:00 PM (local time),2375,20,"58,767",460,BLUES,20,56,5,MAROONS,10,16,5
0,2001,"Sunday, 6th May, 2001",8:00 PM (local time),2376,22,"38,909",1273,MAROONS,16,34,5,BLUES,4,16,4
0,2001,"Sunday, 10th June, 2001",8:00 PM (local time),2377,20,"70,249",806,BLUES,6,26,3,MAROONS,2,8,8
0,2001,"Sunday, 1st July, 2001",8:00 PM (local time),2378,13,"48,441",111,MAROONS,28,40,9,BLUES,8,14,5
0,2002,"Wednesday, 22nd May, 2002",8:00 PM (local time),2379,20,"55,421",276,BLUES,21,32,6,MAROONS,4,4,3
0,2002,"Wednesday, 5th June, 2002",8:00 PM (local time),2380,13,"47,989",661,MAROONS,8,26,2,BLUES,6,18,4
0,2002,"Wednesday, 26th June, 2002",7:30 PM (local time),2381,20,"74,842",227,BLUES,12,18,2,MAROONS,8,18,1
0,2003,"Wednesday, 11th June, 2003",8:00 PM (local time),2382,1097,"52,420",808,MAROONS,6,12,4,BLUES,12,25,2
0,2003,"Wednesday, 25th June, 2003",8:00 PM (local time),2383,20,"79,132",276,BLUES,17,27,4,MAROONS,0,4,4
0,2003,"Wednesday, 16th July, 2003",8:00 PM (local time),2384,1097,"52,130",88,MAROONS,16,36,5,BLUES,0,6,4
0,2004,"Wednesday, 26th May, 2004",8:00 PM (local time),2385,20,"68,344",557,BLUES,0,9,5,MAROONS,4,8,3
0,2004,"Wednesday, 16th June, 2004",8:00 PM (local time),2386,1097,"52,478",735,MAROONS,6,22,6,BLUES,12,18,4
0,2004,"Wednesday, 7th July, 2004",8:00 PM (local time),2387,20,"82,487",845,BLUES,18,36,4,MAROONS,8,14,5
0,2005,"Wednesday, 25th May, 2005",8:00 PM (local time),2294,1097,"52,484",164,MAROONS,13,24,1,BLUES,0,20,2
0,2005,"Wednesday, 15th June, 2005",8:00 PM (local time),2439,20,"82,389",276,BLUES,8,32,5,MAROONS,12,22,2
0,2005,"Wednesday, 6th July, 2005",8:00 PM (local time),2939,1097,"52,436",834,MAROONS,0,10,3,BLUES,18,32,5
0,2006,"Wednesday, 24th May, 2006",8:00 PM (local time),4023,20,"72,773",1641,BLUES,14,17,3,MAROONS,0,16,4
0,2006,"Wednesday, 14th June, 2006",8:00 PM (local time),4024,1097,"52,468",111,MAROONS,14,30,2,BLUES,0,6,3
0,2006,"Wednesday, 5th July, 2006",8:00 PM (local time),4025,30,"54,833",108,BLUES,4,14,4,MAROONS,4,16,4
0,2007,"Wednesday, 23rd May, 2007",8:00 PM (local time),7986,1097,"52,498",125,MAROONS,6,25,6,BLUES,18,18,5
0,2007,"Wednesday, 13th June, 2007",8:00 PM (local time),7987,20,"76,924",742,BLUES,6,6,4,MAROONS,6,10,1
0,2007,"Wednesday, 4th July, 2007",8:00 PM (local time),7988,1097,"52,469",303,MAROONS,4,4,7,BLUES,6,18,7
0,2008,"Wednesday, 21st May, 2008",8:00 PM (local time),15004,20,"67,620",303,BLUES,14,18,3,MAROONS,4,10,3
0,2008,"Wednesday, 11th June, 2008",8:00 PM (local time),15005,1097,"52,416",1379,MAROONS,16,30,9,BLUES,0,0,7
0,2008,"Wednesday, 2nd July, 2008",8:00 PM (local time),15006,20,"78,751",5542,BLUES,10,10,5,MAROONS,8,16,5
0,2009,"Wednesday, 3rd June, 2009",8:00 PM (local time),15762,30,"50,967",125,MAROONS,18,28,4,BLUES,6,18,5
0,2009,"Wednesday, 24th June, 2009",8:00 PM (local time),15955,20,"80,459",122,BLUES,10,14,2,MAROONS,18,24,4
0,2009,"Wednesday, 15th July, 2009",8:00 PM (local time),15956,1097,"52,439",828,MAROONS,6,16,8,BLUES,14,28,4
0,2010,"Wednesday, 26th May, 2010",8:00 PM (local time),20061,20,"68,753",125,BLUES,8,24,4,MAROONS,12,28,4
0,2010,"Wednesday, 16th June, 2010",8:00 PM (local time),20062,1097,"52,452",111,MAROONS,16,34,8,BLUES,0,6,3
0,2010,"Wednesday, 7th July, 2010",8:00 PM (local time),20063,20,"61,259",735,BLUES,6,18,7,MAROONS,13,23,5
0,2011,"Wednesday, 25th May, 2011",8:00 PM (local time),21586,1097,"52,144",742,MAROONS,6,16,2,BLUES,0,12,1
0,2011,"Wednesday, 15th June, 2011",8:00 PM (local time),21587,20,"81,965",299,BLUES,6,18,5,MAROONS,8,8,4
0,2011,"Wednesday, 6th July, 2011",8:00 PM (local time),21588,1097,"52,498",742,MAROONS,24,34,3,BLUES,10,24,5
0,2012,"Wednesday, 23rd May, 2012",8:00 PM (local time),28127,30,"56,021",153,BLUES,4,10,4,MAROONS,12,18,3
0,2012,"Wednesday, 13th June, 2012",8:00 PM (local time),28137,20,"83,110",303,BLUES,4,16,4,MAROONS,6,12,4
0,2012,"Wednesday, 4th July, 2012",8:00 PM (local time),28185,1097,"52,437",125,MAROONS,16,21,6,BLUES,8,20,4
0,2013,"Wednesday, 5th June, 2013",8:00 PM (local time),28914,20,"80,380",324,BLUES,14,14,7,MAROONS,0,6,5
0,2013,"Wednesday, 26th June, 2013",8:00 PM (local time),28915,1097,"51,690",742,MAROONS,14,26,8,BLUES,0,6,5
0,2013,"Wednesday, 17th July, 2013",8:00 PM (local time),28916,20,"83,813",108,BLUES,4,10,8,MAROONS,8,12,4
0,2014,"Wednesday, 28th May, 2014",8:00 PM (local time),29003,1097,"52,111",3709,MAROONS,4,8,7,BLUES,10,12,4
0,2014,"Wednesday, 18th June, 2014",8:00 PM (local time),29004,20,"83,421",299,BLUES,0,6,9,MAROONS,4,4,5
0,2014,"Wednesday, 9th July, 2014",8:15 PM (local time),29005,1097,"50,155",116,MAROONS,6,32,10,BLUES,2,8,5
0,2015,"Wednesday, 27th May, 2015",8:00 PM (local time),30682,20,"80,122",742,BLUES,10,10,6,MAROONS,6,11,7
0,2015,"Wednesday, 17th June, 2015",8:00 PM (local time),30694,37,"91,513",5563,MAROONS,10,18,7,BLUES,14,26,6
0,2015,"Wednesday, 8th July, 2015",8:15 PM (local time),30705,1097,"52,500",125,MAROONS,22,52,12,BLUES,2,6,5
0,2016,"Wednesday, 1st June, 2016",8:30 PM (local time),31070,20,"80,251",14502,BLUES,4,4,4,MAROONS,6,6,4
0,2016,"Wednesday, 22nd June, 2016",8:05 PM (local time),31090,1097,"52,293",742,MAROONS,10,26,7,BLUES,4,16,5
0,2016,"Wednesday, 13th July, 2016",8:18 PM (local time),31151,20,"61,267",13818,BLUES,6,18,12,MAROONS,4,14,3
0,2017,"Wednesday, 31st May, 2017",8:15 PM (local time),36095,1097,"50,390",14510,MAROONS,4,4,3,BLUES,12,28,3
0,2017,"Wednesday, 21st June, 2017",8:15 PM (local time),36096,20,"82,259",19956,BLUES,16,16,4,MAROONS,6,18,6
0,2017,"Wednesday, 12th July, 2017",8:15 PM (local time),36097,1097,"52,540",742,MAROONS,12,22,4,BLUES,0,6,5
0,2018,"Wednesday, 6th June, 2018",8:05 PM (local time),38215,37,"87,122",19474,MAROONS,6,12,1,BLUES,8,22,4
0,2018,"Sunday, 24th June, 2018",7:45 PM (local time),38216,20,"82,223",17201,BLUES,12,18,6,MAROONS,10,14,8
0,2018,"Wednesday, 11th July, 2018",8:05 PM (local time),38217,1097,"51,214",735,MAROONS,8,18,8,BLUES,12,12,3
0,2019,"Wednesday, 5th June, 2019",8:15 PM (local time),38546,1097,"52,191",735,MAROONS,0,18,5,BLUES,8,14,3
0,2019,"Sunday, 23rd June, 2019",5:40 PM (local time),38563,804,"59,721",735,MAROONS,6,6,6,BLUES,18,38,7
0,2019,"Wednesday, 10th July, 2019",8:15 PM (local time),38575,20,"82,565",735,BLUES,8,26,8,MAROONS,8,20,6
0,2020,"Wednesday, 4th November, 2020",8:00 PM (local time),40245,33,"25,218",735,MAROONS,0,18,2,BLUES,10,14,3
0,2020,"Wednesday, 11th November, 2020",8:10 PM (local time),40246,20,"36,212",735,BLUES,18,34,5,MAROONS,4,10,3
0,2020,"Wednesday, 18th November, 2020",8:10 PM (local time),40247,1097,"49,155",735,MAROONS,12,20,6,BLUES,6,14,7
0,2021,"Wednesday, 9th June, 2021",8:00 PM (local time),45336,985,"27,533",735,MAROONS,6,6,4,BLUES,20,50,4
0,2021,"Sunday, 27th June, 2021",8:00 PM (local time),45375,1097,"52,273",735,MAROONS,0,0,6,BLUES,18,26,2
0,2021,"Wednesday, 14th July, 2021",8:00 PM (local time),45376,149,"26,307",735,BLUES,6,18,2,MAROONS,8,20,5
0,2022,"Wednesday, 8th June, 2022",8:30 PM (local time),49545,20,"80,512",735,BLUES,4,10,3,MAROONS,6,16,4
0,2022,"Sunday, 26th June, 2022",7:50 PM (local time),51468,804,"59,358",735,BLUES,14,44,5,MAROONS,12,12,8
0,2022,"Wednesday, 13th July, 2022",8:10 PM (local time),51534,1097,"52,385",735,MAROONS,10,22,4,BLUES,12,12,4
0,2023,"Wednesday, 31st May, 2023",7:35 PM (local time),54602,33,"48,613",735,MAROONS,10,26,6,BLUES,6,18,8
0,2023,"Wednesday, 21st June, 2023",8:05 PM (local time),54603,1097,"52,433",735,MAROONS,10,32,2,BLUES,0,6,9
0,2023,"Wednesday, 12th July, 2023",8:05 PM (local time),54604,20,"75,342",735,BLUES,18,24,6,MAROONS,10,10,5
0,2024,"Wednesday, 5th June, 2024",8:05 PM (local time),63125,20,"77,214",735,BLUES,6,10,2,MAROONS,20,38,2
0,2024,"Wednesday, 26th June, 2024",8:05 PM (local time),63126,37,"90,084",735,BLUES,34,38,7,MAROONS,0,18,9
